category,level,region,year,quarter,count,amount
insurance,state,maharashtra,2020,2,39836,6879717.0
insurance,state,karnataka,2020,2,27358,4794150.0
insurance,state,andhra pradesh,2020,2,22104,3982391.0
insurance,state,telangana,2020,2,19003,3419453.0
insurance,state,delhi,2020,2,11716,1897480.0
insurance,state,uttar pradesh,2020,2,9884,1912266.0
insurance,state,gujarat,2020,2,7697,1430591.0
insurance,state,west bengal,2020,2,7619,1432764.0
insurance,state,haryana,2020,2,6321,1179814.0
insurance,state,madhya pradesh,2020,2,6283,1198701.0
insurance,district,bengaluru urban,2020,2,20040,3301769.0
insurance,district,pune,2020,2,8699,1482628.0
insurance,district,thane,2020,2,7559,1221018.0
insurance,district,mumbai suburban,2020,2,5780,884439.0
insurance,district,hyderabad,2020,2,4783,805518.0
insurance,district,rangareddy,2020,2,4495,778492.0
insurance,district,medchal malkajgiri,2020,2,4150,711890.0
insurance,district,visakhapatnam,2020,2,3504,614212.0
insurance,district,aurangabad,2020,2,2898,509460.0
insurance,district,anantapur,2020,2,2739,485777.0
insurance,pincode,560068,2020,2,1076,168415.0
insurance,pincode,560037,2020,2,1034,155914.0
insurance,pincode,110059,2020,2,895,132104.0
insurance,pincode,560076,2020,2,802,124790.0
insurance,pincode,500072,2020,2,760,122394.0
insurance,pincode,560078,2020,2,742,119673.0
insurance,pincode,421201,2020,2,668,104388.0
insurance,pincode,560100,2020,2,651,103528.0
insurance,pincode,431003,2020,2,651,107122.0
insurance,pincode,110092,2020,2,638,94570.0
insurance,state,maharashtra,2020,3,71662,19230156.0
insurance,state,karnataka,2020,3,53701,12407394.0
insurance,state,andhra pradesh,2020,3,49812,12426481.0
insurance,state,telangana,2020,3,34395,8406543.0
insurance,state,uttar pradesh,2020,3,18131,4436969.0
insurance,state,rajasthan,2020,3,15235,3758527.0
insurance,state,madhya pradesh,2020,3,14476,3496126.0
insurance,state,west bengal,2020,3,12596,2878482.0
insurance,state,gujarat,2020,3,12525,3335812.0
insurance,state,odisha,2020,3,10955,2640191.0
insurance,district,bengaluru urban,2020,3,32192,6940765.0
insurance,district,pune,2020,3,18176,4567561.0
insurance,district,visakhapatnam,2020,3,7906,1892376.0
insurance,district,thane,2020,3,6951,1718946.0
insurance,district,rangareddy,2020,3,6340,1509162.0
insurance,district,hyderabad,2020,3,6331,1397580.0
insurance,district,medchal malkajgiri,2020,3,5929,1415970.0
insurance,district,nashik,2020,3,5564,1418697.0
insurance,district,spsr nellore,2020,3,5509,1259159.0
insurance,district,krishna,2020,3,4519,1093882.0
insurance,pincode,560068,2020,3,1603,340876.0
insurance,pincode,560076,2020,3,1148,250474.0
insurance,pincode,560078,2020,3,1124,243443.0
insurance,pincode,500072,2020,3,1103,243812.0
insurance,pincode,410501,2020,3,1067,278535.0
insurance,pincode,345021,2020,3,1003,203794.0
insurance,pincode,535003,2020,3,968,195870.0
insurance,pincode,431003,2020,3,926,209817.0
insurance,pincode,560037,2020,3,923,202431.0
insurance,pincode,560079,2020,3,904,183362.0
insurance,state,maharashtra,2020,4,44798,27113814.0
insurance,state,karnataka,2020,4,31747,26814968.0
insurance,state,andhra pradesh,2020,4,21464,12985632.0
insurance,state,telangana,2020,4,20961,11339099.0
insurance,state,uttar pradesh,2020,4,17470,14180417.0
insurance,state,rajasthan,2020,4,12509,6471573.0
insurance,state,madhya pradesh,2020,4,10653,4897124.0
insurance,state,tamil nadu,2020,4,10290,8993575.0
insurance,state,west bengal,2020,4,10233,7510455.0
insurance,state,gujarat,2020,4,9990,6055037.0
insurance,district,bengaluru urban,2020,4,18485,15922383.0
insurance,district,pune,2020,4,8211,4862704.0
insurance,district,thane,2020,4,5939,4405413.0
insurance,district,mumbai suburban,2020,4,4631,3301120.0
insurance,district,hyderabad,2020,4,3682,1892565.0
insurance,district,rangareddy,2020,4,3486,2124943.0
insurance,district,visakhapatnam,2020,4,3464,2203761.0
insurance,district,jaipur,2020,4,3318,1641429.0
insurance,district,medchal malkajgiri,2020,4,3298,2034226.0
insurance,district,nashik,2020,4,2903,1492155.0
insurance,pincode,560068,2020,4,849,653177.0
insurance,pincode,421302,2020,4,609,459248.0
insurance,pincode,560079,2020,4,565,461758.0
insurance,pincode,500072,2020,4,554,307425.0
insurance,pincode,560078,2020,4,536,398681.0
insurance,pincode,560076,2020,4,525,495928.0
insurance,pincode,560037,2020,4,511,384244.0
insurance,pincode,201301,2020,4,496,320628.0
insurance,pincode,560043,2020,4,495,437875.0
insurance,pincode,421201,2020,4,465,347630.0
insurance,state,maharashtra,2021,1,55792,33137753.0
insurance,state,karnataka,2021,1,37595,30183325.0
insurance,state,telangana,2021,1,28298,14810947.0
insurance,state,uttar pradesh,2021,1,24103,18027573.0
insurance,state,andhra pradesh,2021,1,22105,12749874.0
insurance,state,rajasthan,2021,1,17800,8074225.0
insurance,state,west bengal,2021,1,15488,11172042.0
insurance,state,madhya pradesh,2021,1,14427,5567927.0
insurance,state,tamil nadu,2021,1,14406,11180849.0
insurance,state,delhi,2021,1,12822,9655261.0
insurance,district,bengaluru urban,2021,1,21606,17636524.0
insurance,district,pune,2021,1,10913,6482027.0
insurance,district,thane,2021,1,6971,4869909.0
insurance,district,mumbai suburban,2021,1,5505,3893302.0
insurance,district,hyderabad,2021,1,5067,2446647.0
insurance,district,rangareddy,2021,1,4821,2864273.0
insurance,district,jaipur,2021,1,4630,2056318.0
insurance,district,medchal malkajgiri,2021,1,4375,2393448.0
insurance,district,visakhapatnam,2021,1,4006,2403199.0
insurance,district,kolkata,2021,1,3750,2611912.0
insurance,pincode,560068,2021,1,870,614123.0
insurance,pincode,421302,2021,1,802,538000.0
insurance,pincode,700046,2021,1,750,471141.0
insurance,pincode,201301,2021,1,697,383781.0
insurance,pincode,560043,2021,1,682,549677.0
insurance,pincode,500072,2021,1,677,374999.0
insurance,pincode,560078,2021,1,658,521459.0
insurance,pincode,410501,2021,1,649,265413.0
insurance,pincode,560091,2021,1,648,492850.0
insurance,pincode,110059,2021,1,632,446103.0
insurance,state,maharashtra,2021,2,70381,46763103.0
insurance,state,karnataka,2021,2,40969,39501006.0
insurance,state,andhra pradesh,2021,2,33205,22730687.0
insurance,state,telangana,2021,2,28870,20935651.0
insurance,state,uttar pradesh,2021,2,25952,25137571.0
insurance,state,rajasthan,2021,2,18281,14357445.0
insurance,state,tamil nadu,2021,2,17682,16444344.0
insurance,state,west bengal,2021,2,15200,12396029.0
insurance,state,madhya pradesh,2021,2,14803,9787391.0
insurance,state,gujarat,2021,2,14676,10263998.0
insurance,district,bengaluru urban,2021,2,21918,19572756.0
insurance,district,pune,2021,2,14949,9422249.0
insurance,district,thane,2021,2,7446,5734857.0
insurance,district,rangareddy,2021,2,5618,4515303.0
insurance,district,hyderabad,2021,2,5616,3945773.0
insurance,district,prakasam,2021,2,5308,2719134.0
insurance,district,mumbai suburban,2021,2,5293,3659655.0
insurance,district,medchal malkajgiri,2021,2,5094,3743459.0
insurance,district,visakhapatnam,2021,2,4655,3497573.0
insurance,district,nashik,2021,2,4607,2827696.0
insurance,pincode,523002,2021,2,1409,631953.0
insurance,pincode,110042,2021,2,1036,537398.0
insurance,pincode,560068,2021,2,982,719927.0
insurance,pincode,410501,2021,2,948,578550.0
insurance,pincode,500072,2021,2,915,574372.0
insurance,pincode,421302,2021,2,783,586297.0
insurance,pincode,712138,2021,2,724,263805.0
insurance,pincode,411033,2021,2,722,405598.0
insurance,pincode,560076,2021,2,719,556220.0
insurance,pincode,412105,2021,2,713,452166.0
insurance,state,maharashtra,2021,3,52268,41313307.0
insurance,state,karnataka,2021,3,47468,48078366.0
insurance,state,uttar pradesh,2021,3,32799,32641118.0
insurance,state,telangana,2021,3,27080,20925217.0
insurance,state,west bengal,2021,3,24839,21424337.0
insurance,state,tamil nadu,2021,3,23107,23402918.0
insurance,state,andhra pradesh,2021,3,23075,19914338.0
insurance,state,bihar,2021,3,18030,18234941.0
insurance,state,delhi,2021,3,16679,15007079.0
insurance,state,rajasthan,2021,3,16643,12793862.0
insurance,district,bengaluru urban,2021,3,27498,26210017.0
insurance,district,pune,2021,3,9943,8127896.0
insurance,district,thane,2021,3,7829,6194341.0
insurance,district,mumbai suburban,2021,3,5520,4552921.0
insurance,district,hyderabad,2021,3,5201,3813732.0
insurance,district,rangareddy,2021,3,5064,4209112.0
insurance,district,medchal malkajgiri,2021,3,4896,3968450.0
insurance,district,kolkata,2021,3,4808,3468389.0
insurance,district,gurugram,2021,3,4501,3651728.0
insurance,district,chennai,2021,3,4367,3861435.0
insurance,pincode,712138,2021,3,1350,480755.0
insurance,pincode,421301,2021,3,1176,670772.0
insurance,pincode,560068,2021,3,1126,984821.0
insurance,pincode,421302,2021,3,1001,736789.0
insurance,pincode,122001,2021,3,866,704138.0
insurance,pincode,201301,2021,3,846,600065.0
insurance,pincode,560058,2021,3,841,725815.0
insurance,pincode,122006,2021,3,806,481888.0
insurance,pincode,500072,2021,3,803,638626.0
insurance,pincode,560043,2021,3,800,743863.0
insurance,state,maharashtra,2021,4,82423,93262227.0
insurance,state,karnataka,2021,4,74436,90723288.0
insurance,state,uttar pradesh,2021,4,44132,59654951.0
insurance,state,telangana,2021,4,34848,38845492.0
insurance,state,delhi,2021,4,34251,36578331.0
insurance,state,tamil nadu,2021,4,33037,42184290.0
insurance,state,west bengal,2021,4,26320,31282871.0
insurance,state,andhra pradesh,2021,4,25423,31610335.0
insurance,state,bihar,2021,4,22456,27313813.0
insurance,state,haryana,2021,4,19489,25885838.0
insurance,district,bengaluru urban,2021,4,44650,50064816.0
insurance,district,pune,2021,4,16039,18693479.0
insurance,district,thane,2021,4,13362,13856390.0
insurance,district,mumbai suburban,2021,4,9319,9168680.0
insurance,district,hyderabad,2021,4,7016,7001072.0
insurance,district,rangareddy,2021,4,6835,7932450.0
insurance,district,medchal malkajgiri,2021,4,6553,7341035.0
insurance,district,gurugram,2021,4,5951,6492219.0
insurance,district,chennai,2021,4,5769,6143037.0
insurance,district,jaipur,2021,4,5571,6278712.0
insurance,pincode,560068,2021,4,1839,1905289.0
insurance,pincode,110059,2021,4,1509,1603319.0
insurance,pincode,421301,2021,4,1473,1157196.0
insurance,pincode,421302,2021,4,1471,1338786.0
insurance,pincode,560078,2021,4,1372,1472700.0
insurance,pincode,560076,2021,4,1308,1508537.0
insurance,pincode,560043,2021,4,1285,1483440.0
insurance,pincode,560058,2021,4,1237,1231686.0
insurance,pincode,110086,2021,4,1220,1265728.0
insurance,pincode,560091,2021,4,1201,1265605.0
insurance,state,karnataka,2022,1,95640,130733580.0
insurance,state,maharashtra,2022,1,88015,117411928.0
insurance,state,tamil nadu,2022,1,47621,64969045.0
insurance,state,uttar pradesh,2022,1,45996,73014969.0
insurance,state,west bengal,2022,1,38779,51160527.0
insurance,state,kerala,2022,1,37110,64172190.0
insurance,state,telangana,2022,1,36325,51942016.0
insurance,state,andhra pradesh,2022,1,29954,42648157.0
insurance,state,delhi,2022,1,28232,35442069.0
insurance,state,haryana,2022,1,22783,32526943.0
insurance,district,bengaluru urban,2022,1,57549,71700148.0
insurance,district,pune,2022,1,17790,24312875.0
insurance,district,thane,2022,1,14272,16536659.0
insurance,district,mumbai suburban,2022,1,10457,11756037.0
insurance,district,chennai,2022,1,9138,9949256.0
insurance,district,hyderabad,2022,1,7434,9813417.0
insurance,district,medchal malkajgiri,2022,1,7300,10383529.0
insurance,district,rangareddy,2022,1,7261,10851640.0
insurance,district,kolkata,2022,1,6763,7736401.0
insurance,district,gurugram,2022,1,6642,8138262.0
insurance,pincode,560068,2022,1,2349,2922542.0
insurance,pincode,560076,2022,1,1718,2181826.0
insurance,pincode,560043,2022,1,1713,2402868.0
insurance,pincode,560058,2022,1,1699,1800069.0
insurance,pincode,421302,2022,1,1673,1688051.0
insurance,pincode,560078,2022,1,1671,1970551.0
insurance,pincode,560091,2022,1,1656,2065687.0
insurance,pincode,110059,2022,1,1416,1666849.0
insurance,pincode,560079,2022,1,1358,1534187.0
insurance,pincode,560064,2022,1,1288,1709573.0
insurance,state,karnataka,2022,2,93385,123228632.0
insurance,state,maharashtra,2022,2,80935,104603934.0
insurance,state,uttar pradesh,2022,2,55133,77434953.0
insurance,state,tamil nadu,2022,2,46714,61835120.0
insurance,state,telangana,2022,2,45600,58056956.0
insurance,state,kerala,2022,2,35667,59920203.0
insurance,state,west bengal,2022,2,33542,41737021.0
insurance,state,andhra pradesh,2022,2,32185,41708072.0
insurance,state,delhi,2022,2,26378,31787281.0
insurance,state,gujarat,2022,2,25381,32090965.0
insurance,district,bengaluru urban,2022,2,57934,69731242.0
insurance,district,pune,2022,2,18712,24072589.0
insurance,district,thane,2022,2,12306,14514282.0
insurance,district,rangareddy,2022,2,10065,13653367.0
insurance,district,mumbai suburban,2022,2,9944,10743651.0
insurance,district,hyderabad,2022,2,9542,11365866.0
insurance,district,chennai,2022,2,8966,9428379.0
insurance,district,medchal malkajgiri,2022,2,8919,11248856.0
insurance,district,jaipur,2022,2,7224,9069667.0
insurance,district,ahmadabad,2022,2,6962,8565312.0
insurance,pincode,560068,2022,2,2692,3077564.0
insurance,pincode,560037,2022,2,1860,2052163.0
insurance,pincode,560078,2022,2,1844,2105323.0
insurance,pincode,560076,2022,2,1835,2129897.0
insurance,pincode,500072,2022,2,1794,2115388.0
insurance,pincode,560043,2022,2,1755,2171198.0
insurance,pincode,560091,2022,2,1405,1565112.0
insurance,pincode,560100,2022,2,1389,1710571.0
insurance,pincode,201301,2022,2,1312,1413747.0
insurance,pincode,203001,2022,2,1297,774861.0
insurance,state,karnataka,2022,3,110273,144605784.0
insurance,state,maharashtra,2022,3,90958,113835208.0
insurance,state,uttar pradesh,2022,3,64514,87703512.0
insurance,state,tamil nadu,2022,3,64356,79747520.0
insurance,state,kerala,2022,3,54587,85390924.0
insurance,state,telangana,2022,3,51465,64798126.0
insurance,state,west bengal,2022,3,47853,59092307.0
insurance,state,andhra pradesh,2022,3,39301,48791931.0
insurance,state,delhi,2022,3,35944,41570160.0
insurance,state,haryana,2022,3,35346,45402800.0
insurance,district,bengaluru urban,2022,3,64593,79303480.0
insurance,district,pune,2022,3,19899,24823260.0
insurance,district,thane,2022,3,13402,15693837.0
insurance,district,chennai,2022,3,12059,12069618.0
insurance,district,rangareddy,2022,3,11801,15523643.0
insurance,district,mumbai suburban,2022,3,11136,11840245.0
insurance,district,hyderabad,2022,3,10560,12374531.0
